-233191	-2026.26	207974	4.39292e+12	4.39292e+12	4.73692e+12	4.73692e+12	5.04182e+12	5.04182e+12	5.83355e+12	6.06255e+12	6.06255e+12	6.13277e+12	6.15781e+12	6.15781e+12	6.6224e+12	6.69339e+12	6.7958e+12	8.83982e+12	9.59709e+12	9.59709e+12	9.98105e+12	9.98105e+12	1.02248e+13	
9.98623e+10	1.09653e+11	2.21477e+11	4.38475e+12	4.3859e+12	4.7418e+12	4.74264e+12	5.04251e+12	5.04256e+12	5.82593e+12	6.061e+12	6.06242e+12	6.14239e+12	6.15107e+12	6.15693e+12	6.62855e+12	6.69328e+12	6.7945e+12	8.8419e+12	9.59627e+12	9.59835e+12	9.97987e+12	9.98064e+12	1.02241e+13	
1.99655e+11	2.19243e+11	4.42759e+11	4.36131e+12	4.36615e+12	4.75536e+12	4.75845e+12	5.04456e+12	5.04481e+12	5.80606e+12	6.05636e+12	6.06125e+12	6.13274e+12	6.15429e+12	6.16831e+12	6.64586e+12	6.69295e+12	6.79061e+12	8.84812e+12	9.59382e+12	9.60211e+12	9.97633e+12	9.97943e+12	1.02219e+13	
2.99309e+11	3.28704e+11	6.6365e+11	4.325e+12	4.33661e+12	4.77525e+12	4.78136e+12	5.04785e+12	5.04862e+12	5.77983e+12	6.0486e+12	6.05493e+12	6.10959e+12	6.14992e+12	6.20473e+12	6.67165e+12	6.69239e+12	6.78422e+12	8.85843e+12	9.58975e+12	9.60831e+12	9.97047e+12	9.97743e+12	1.02184e+13	
3.98755e+11	4.37975e+11	8.8395e+11	4.27818e+12	4.3002e+12	4.79918e+12	4.80832e+12	5.0522e+12	5.05411e+12	5.7522e+12	6.03267e+12	6.03772e+12	6.09528e+12	6.14384e+12	6.24683e+12	6.69157e+12	6.70302e+12	6.77544e+12	8.87274e+12	9.5841e+12	9.61684e+12	9.96232e+12	9.97468e+12	1.02135e+13	
4.97924e+11	5.4699e+11	1.10346e+12	4.22263e+12	4.2591e+12	4.82549e+12	4.83695e+12	5.05736e+12	5.06142e+12	5.72649e+12	5.99331e+12	6.02372e+12	6.09333e+12	6.1361e+12	6.29146e+12	6.69048e+12	6.73758e+12	6.7644e+12	8.89095e+12	9.5769e+12	9.62759e+12	9.95194e+12	9.97124e+12	1.02074e+13	
5.96747e+11	6.55686e+11	1.32198e+12	4.15959e+12	4.21481e+12	4.85317e+12	4.86553e+12	5.06306e+12	5.07077e+12	5.70477e+12	5.94555e+12	6.00659e+12	6.09672e+12	6.12673e+12	6.33665e+12	6.68907e+12	6.7513e+12	6.77357e+12	8.91288e+12	9.56822e+12	9.64038e+12	9.93941e+12	9.96716e+12	1.02e+13	
6.95156e+11	7.64001e+11	1.53929e+12	4.09001e+12	4.16831e+12	4.8816e+12	4.89277e+12	5.069e+12	5.08241e+12	5.68836e+12	5.89358e+12	5.98636e+12	6.10244e+12	6.11578e+12	6.38116e+12	6.68732e+12	6.73634e+12	6.80976e+12	8.93835e+12	9.55812e+12	9.65502e+12	9.92482e+12	9.96252e+12	1.01914e+13	
7.93083e+11	8.7187e+11	1.75519e+12	4.01472e+12	4.12032e+12	4.91037e+12	4.91773e+12	5.07495e+12	5.09655e+12	5.67804e+12	5.83916e+12	5.96308e+12	6.10328e+12	6.10952e+12	6.42413e+12	6.68515e+12	6.71971e+12	6.84526e+12	8.96712e+12	9.54669e+12	9.67132e+12	9.90829e+12	9.95741e+12	1.01818e+13	
8.90461e+11	9.7923e+11	1.96944e+12	3.93449e+12	4.07132e+12	4.93915e+12	4.93978e+12	5.08074e+12	5.11328e+12	5.67423e+12	5.78328e+12	5.93682e+12	6.08928e+12	6.11754e+12	6.46502e+12	6.68252e+12	6.70165e+12	6.87943e+12	8.99891e+12	9.53403e+12	9.68906e+12	9.88997e+12	9.95194e+12	1.01712e+13	
9.87222e+11	1.08602e+12	2.18182e+12	3.85014e+12	4.0217e+12	4.95866e+12	4.96754e+12	5.08645e+12	5.13244e+12	5.67701e+12	5.72664e+12	5.90767e+12	6.07381e+12	6.12621e+12	6.50344e+12	6.67935e+12	6.68234e+12	6.91177e+12	9.03341e+12	9.52024e+12	9.70799e+12	9.87001e+12	9.94622e+12	1.01599e+13	
1.0833e+12	1.19218e+12	2.39208e+12	3.7625e+12	3.9718e+12	4.97444e+12	4.99482e+12	5.09255e+12	5.1536e+12	5.66976e+12	5.68621e+12	5.87576e+12	6.05691e+12	6.13533e+12	6.53915e+12	6.662e+12	6.67555e+12	6.94188e+12	9.07027e+12	9.50545e+12	9.7279e+12	9.84863e+12	9.94038e+12	1.01478e+13	
1.17863e+12	1.29763e+12	2.59994e+12	3.67247e+12	3.92186e+12	4.98743e+12	5.01961e+12	5.10028e+12	5.17618e+12	5.61307e+12	5.7015e+12	5.84126e+12	6.03861e+12	6.14468e+12	6.572e+12	6.6408e+12	6.67102e+12	6.96943e+12	9.10908e+12	9.48982e+12	9.74856e+12	9.82607e+12	9.93455e+12	1.01352e+13	
1.27315e+12	1.40234e+12	2.80513e+12	3.58095e+12	3.87214e+12	4.99801e+12	5.03939e+12	5.11208e+12	5.19952e+12	5.55699e+12	5.72241e+12	5.80432e+12	6.01896e+12	6.15406e+12	6.60191e+12	6.6189e+12	6.66565e+12	6.99415e+12	9.14939e+12	9.47349e+12	9.76974e+12	9.80262e+12	9.92888e+12	1.01222e+13	
