1.64578e+12	3.94946e+12	3.97817e+12	4.29285e+12	5.92289e+12	5.93388e+12	6.91618e+12	7.12509e+12	7.60807e+12	9.99617e+12	1.02394e+13	1.03524e+13	
1.69327e+12	3.95248e+12	3.99043e+12	4.34921e+12	5.92062e+12	6.02028e+12	6.9118e+12	7.09876e+12	7.58152e+12	1.0001e+13	1.02396e+13	1.03668e+13	
1.73988e+12	3.93369e+12	4.01766e+12	4.42335e+12	5.91859e+12	6.07658e+12	6.90717e+12	7.09038e+12	7.55227e+12	1.00062e+13	1.02382e+13	1.03813e+13	
1.78558e+12	3.92197e+12	4.03936e+12	4.50703e+12	5.91681e+12	6.09847e+12	6.90231e+12	7.10415e+12	7.52052e+12	1.00119e+13	1.0235e+13	1.03959e+13	
1.83035e+12	3.91743e+12	4.06091e+12	4.5947e+12	5.91528e+12	6.08593e+12	6.89721e+12	7.14001e+12	7.48651e+12	1.00182e+13	1.023e+13	1.04105e+13	
1.87415e+12	3.92011e+12	4.08521e+12	4.68332e+12	5.91402e+12	6.04334e+12	6.89188e+12	7.19345e+12	7.45045e+12	1.00252e+13	1.0223e+13	1.0425e+13	
1.91697e+12	3.93001e+12	4.11371e+12	4.77121e+12	5.91301e+12	5.97701e+12	6.88634e+12	7.25804e+12	7.41257e+12	1.00332e+13	1.0214e+13	1.04394e+13	
1.95877e+12	3.9471e+12	4.14706e+12	4.85741e+12	5.89278e+12	5.91227e+12	6.88061e+12	7.3278e+12	7.3731e+12	1.00423e+13	1.02029e+13	1.04538e+13	
1.99952e+12	3.97126e+12	4.18553e+12	4.94135e+12	5.7951e+12	5.91178e+12	6.87469e+12	7.33226e+12	7.39814e+12	1.00528e+13	1.01898e+13	1.0468e+13	
2.03921e+12	4.00233e+12	4.22912e+12	5.02264e+12	5.68715e+12	5.91155e+12	6.86861e+12	7.29028e+12	7.46576e+12	1.0065e+13	1.01745e+13	1.04821e+13	
